,sentence,class
391,"reports about his condition were sent by spies working for the Prussian Chancellor, Otto von",en
392,"Bismarck. Doctors reported that Otto was mentally ill in January 1872. From 1873, he was",en
393,held in isolation in the southern pavilion of Nymphenburg Palace. His attending physician was Dr.,en
394,"Bernhard von Gudden, who later diagnosed Otto's brother, Ludwig, as mentally ill without bothering to",en
395,"examine him and without asking him a single question, which raises questions about his competence",en
396,"and his motives. Both Ludwig and Otto despised Prussia, and their uncle, Luitpold, and Gudden",en
397,supported Prussia's rise to dominance. Some contemporaries believed that Gudden's diagnoses of Otto and Ludwig,en
398,were motivated by political considerations and that more could and should have been done to,en
399,help and treat Otto. Some contemporaries also believed that Bismarck did not want Ludwig nor,en
400,"Otto to remain in power and decided to replace the brothers with their malleable uncle,",en
401," During Corpus Christi Mass in 1875 in the Frauenkirche in Munich, Otto, who had",en
402,"not attended the church service, rushed into the church wearing hunting clothes and fell on",en
403,"his knees before the celebrant, Archbishop Gregor von Scherr, to ask forgiveness for his sins.",en
404,"The High Mass was interrupted, and the prince did not resist when he was led",en
405,away by two church ministers. Otto was then moved to Schleissheim Palace and was effectively,en
406,"held prisoner there, much to his dismay. Gudden made no effort to treat him; it",en
407,is possible that Otto was heavily drugged. Otto's last public appearance was his presence at,en
408,"the side of his brother at the King's parade on 22 August 1875, at the",en
409,"Marsfeld in Munich. From 1 June 1876, he stayed for a few weeks in the",en
410,"castle at Ludwigsthal in the Bavarian Forest. In the spring of 1880, his condition worsened.",en
411,"In 1883, he was confined under medical supervision in Fürstenried Palace near Munich, where he",en
412,would remain for the rest of his life. The palace had been specially converted for,en
413,his confinement. Ludwig occasionally visited him at night and ordered for no violence to be,en
414," In 1886, the senior royal medical officer wrote a statement declaring that Otto was",en
415,severely mentally ill. Otto may have had schizophrenia. It has also been argued that his,en
416,"illness was the result of syphilis, which would also account for the paralysis he had",en
417," In 1894, Otto had shown signs of recovery and was cleared to attend a",en
418," When King Ludwig II was deposed by his ministers on 10 June 1886, his",en
419,uncle Luitpold took over the rule of the Kingdom of Bavaria and led the affairs,en
420,of state in Ludwig's place as regent. Only three days later Ludwig II died under,en
421,"unknown circumstances, and Prince Otto succeeded him as King of Bavaria on 13 June 1886",en
422, Since Otto was unable to lead the government due to his mental illness (officially,en
423,"it was said: ""The King is melancholic""), Prince Regent Luitpold also reigned for him. He",en
424,"did not understand the proclamation of his accession to the throne, which was explained to",en
425,King Otto at Fürstenried Palace the next day after his accession. He thought his uncle,en
426,"Luitpold was the rightful king. Shortly thereafter, the Bavarian Army troops were sworn in the",en
427, Luitpold kept his role as Prince Regent until he died in 1912 and was,en
428,"succeeded by his son Ludwig, who was Otto's first cousin. By then, it had been",en
429,obvious for some time that Otto would never emerge from seclusion or be mentally capable,en
430,"of actively reigning. Almost as soon as Ludwig became regent, elements in the press and",en
431," Accordingly, the constitution of Bavaria was amended on 4 November 1913 to include a",en
432,"clause specifying that if a regency for reasons of incapacity lasted for ten years, with",en
433,"no expectation that the King would ever be able to reign, the Regent could end",en
434,"the regency, depose the King and assume the crown himself with the assent of the",en
435,"legislature. The following day, Prince Regent Ludwig ended the regency, cast his cousin down from",en
436,"the throne, and proclaimed his own reign as Ludwig III. The parliament assented on 6",en
437,"November, and Ludwig III took the constitutional oath on 8 November. King Otto was permitted",en
438, Otto died unexpectedly on 11 October 1916 from a volvulus (an obstruction of the,en
439," in Munich. In accordance to Bavarian royal tradition, the heart of the king was",en
440," (Shrine of Our Lady of Altötting) in Altötting, beside those of his brother, father",en
441,   Die Erbschaft des Königs Otto von Bayern. Höfische Politik und Wittelsbacher Vermögensrechte,en
442,   Die Geisteskrankheit der bayerischen Könige Ludwig II. und Otto. Eine interdisziplinäre Studie,en
443," ) is a museum in Al-Madinah, Saudi Arabia, that exhibits Al-Madinah heritage and history",en
444,"featuring different archaeological collections, visual galleries and rare images that related to Al-Medina. The museum",en
445,"exhibits around 2,000 rare artifacts that capture the heritage and culture of Al-Madinah and document",en
446,"the landscape, the people and how it has been shaped over the years. One of",en
447,"the parts of the tour is the evolution of Masjid Nabawi from a house, courtyard,",en
448," In 1983, a project was launched to transform Al-Hejaz Railway Station that was established",en
449,"in 1908, into a museum called Al-Madinah Museum, the project also included the establishment of",en
450,Hejaz Railway Museum in the site. The museum is not to be confused with the,en
451, is the fourth studio album by Nigerian singer Duncan Mighty. It was released on,en
452,"  Go Home River, river in west central Ontario that flows west from Go",en
453," The quartet of guitarist Peter Bernstein, pianist Brad Mehldau, bassist Christian McBride, and drummer",en
454," reviewer wrote: ""Bernstein is a guitarist so good he often sounds like two guitarists",en
455,"in a duet. It reflects a mastery that is elegant, mellow and gently swinging, but",en
456, is een tekenfilm uit 1933 van Betty Boop. Dit is een van drie Betty,nl
457,Boop-filmpjes waar Cab Calloway de muziek van verzorgde. In tegenstelling tot de andere twee filmpjes,nl
458,zitten hier ook enkele duetten tussen Calloway en Boop in. Ook werden de nummers van,nl
459,Calloway in de andere cartoons maar in de tweede helft van de film gehoord terwijl,nl
460," Vele dorpelingen vluchten weg voor de oude man op de berg, Betty is nieuwsgierig",nl
461, is een gemeente in het Franse departement Dordogne (regio Nouvelle-Aquitaine) en telt 119 inwoners,nl
462,(2009). De plaats maakte deel uit van het arrondissement Bergerac. Na de aanpassing van de,nl
463,arrondissementsgrenzen vanaf 2017 door het arrest van 30 december 2016 behoort zij tot het arrondissement,nl
464," De oppervlakte van Clermont-de-Beauregard bedraagt 6,2 km², de bevolkingsdichtheid is dus 19,2 inwoners per",nl
465, De onderstaande kaart toont de ligging van Clermont-de-Beauregard met de belangrijkste infrastructuur en aangrenzende,nl
466, werden voor de 82e keer gehouden. De Fransman Yannick Noah won het toernooi door,nl
467, (langstaartnimfen) is een geslacht van vogels uit de familie kolibries (Trochilidae) en de geslachtengroep,nl
468, is een gemeente in het Franse departement Tarn-et-Garonne (regio Occitanie). De plaats maakt deel,nl
469,uit van het arrondissement Montauban en van het gemeentelijk samenwerkingsverband Communauté d’Agglomération de Grand Montauban.,nl
470, De plaats werd voor het eerst vermeld in 955 en groeide rond een kasteel.,nl
471,Al in de 13e eeuw werd Montbeton bestuurd door drie verkozen consuls. In 1562 werd,nl
472,de plaats ingenomen door een protestants leger. Zij vernielden de kerk en verjoegen de katholieke,nl
473,clerici. In 1622 voerden op hun beurt katholieke troepen onder leiding van maarschalk Pons de,nl
474," De oppervlakte van Montbeton bedroeg op 1 januari 2020 15,98 vierkante kilometer; de bevolkingsdichtheid",nl
475, De onderstaande kaart toont de ligging van Montbeton met de belangrijkste infrastructuur en aangrenzende,nl
476," is een plaats (city) in de Amerikaanse staat Arkansas, en valt bestuurlijk gezien onder",nl
477,"In 2006 is het aantal inwoners door het United States Census Bureau geschat op 3060,",nl
478, De onderstaande figuur toont nabijgelegen plaatsen in een straal van 32 km rond Mountain,nl
479," is een station van de Stockholmse metro, gelegen in de wijk Kista. Het station",nl
480,ligt aan lijn T11 van de blauwe route en is geopend op 5 juni 1977.,nl
481,De afstand tot het metrostation Kungsträdgården (het oostelijke eindpunt van de blauwe route) is 13,nl
482,"kilometer. Het station zal tot de opening van de zuidwestelijke verlenging van de blauwe route,",nl
483,"in 2025, het enige bovengrondse station van de blauwe route zijn. Het ligt op het",nl
484, Het station ligt direct naast het winkelcentrum Kista Galleria en een groot busstation. Van,nl
485,"hieruit zijn er buslijnen naar verschillende gebieden in het noordwesten van Stockholm, zoals Sollentuna, Danderyd,",nl
486, is een vlinder uit de familie grasmotten (Crambidae). De wetenschappelijke naam van deze soort,nl
487, In 1995 werd hij voorzitter van de ABVV Jongeren. Voordien was hij beroepshalve jongerenverantwoordelijke,nl
488,"van het ABVV en werkte als assistent van verschillende ABVV voorzitters, waaronder François Janssens. In",nl
489,"2006 maakte hij de overstap naar de Belgische Transportarbeidersbond (BTB), waarvan hij in 2007 federaal",nl
490,secretaris voor wegvervoer en logistiek werd. In 2016 volgde hij Ivan Victor op als voorzitter,nl
491,van deze organisatie. Als voorzitter van BTB maakt hij deel uit van het Federaal Bureau,nl
492,"van het ABVV. Daarnaast is hij vice-president van de ""road section"" van het ITF sinds",nl
493," In 2017 ontving hij de 26ste prijs voor de Democratie, tevens werd hij in",nl
494,mei van dat jaar tijdens het 5e ETF-congres te Barcelona verkozen tot voorzitter van deze,nl
495,   Het kan altijd goedkoper - De gevolgen van sociale dumping in Europa,nl
496," In 1766 verleende keizerin Maria-Theresia adelsverheffing aan Jeanne Putteau, weduwe van Willem Wouters, heer",nl
497," In 1792 werd Jean-Lambert Wouters door keizer Frans II bevorderd tot ridder, overdraagbaar op",nl
498," Hij was een zoon van Jacques Wouters, adjunct-burgemeester van Tienen, en van Marie-Lambertine Baerts.",nl
499," Gepromoveerd tot licentiaat in de rechten, werd hij advocaat, stadssecretaris van Tienen, voorzitter van",nl
500," In 1820, onder het Verenigd Koninkrijk der Nederlanden, werd hij erkend in de erfelijke",nl
501,"  Philippe de Wouters d'Oplinter (1783-1856) werd senator, achtereenvolgens burgemeester van Oplinter, Vertryck en",nl
502,        Fernand de Wouters d'Oplinter met afstammelingen tot,nl
503,"  Charles-Lambert de Wouters d'Oplinter (1786-1855), die vrijgezel bleef, werd burgemeester van Oplinter en",nl
504,  Auguste de Wouters de Vroenhoven (1793-1849) trouwde met Flore Mary (1793-1864) en ze,nl
505,"kregen zes kinderen. Hij werd licentiaat in de rechten en advocaat, burgemeester van 's-Gravenbrakel en",nl
506,provincieraadslid van Brabant. Hij werd beheerder van de goederen van de hertogen van Arenberg en,nl
507,    Adolphe de Wouters de Vroenhoven (1825-1892) trouwde met Julie de Halloy,nl
508,(1831-1894). Ook hij was regisseur van de hertog van Arenberg. Hij was de laatste van,nl
509, is een Nederlandse-Surinaamse documentaire van Hans Heijnen uit 2004. De documentaire is ontstaan na,nl
510, De documentaire laat door middel van interviews en portretten zien hoe het voormalige Surinaamse,nl
511,profvoetballers in de Nederlandse competitie is vergaan in de periode 1954-2000. De Dominee Graafland had,nl
512,"het idee opgevat om Surinaamse voetballers in de jaren 50 (1950-1959) naar Nederland te halen,",nl
513,Humphrey Mijnals was de eerste die zich bij het Nederlandse Elinkwijk meldde en kreeg er,nl
514,"te maken met een kritisch publiek. Kort daarna meldde zich ook Frank Mijnals, Erwin Sparendam,",nl
515, Een tweede generatie profvoetballers van Surinaamse afkomst maakte furore in de jaren 80 (1980-89),nl
516,"met Gerald Vanenburg, Ruud Gullit en Frank Rijkaard die allen een dubbelzinnige band hebben met",nl
517,"Suriname. De derde generatie met Edgar Davids, Clarence Seedorf en Patrick Kluivert zijn via hun",nl
518, Ook worden de Suriprofs gevolgd in de zomer van 2003 die in Suriname een,nl
519,toernooi komen spelen onder coach Stanley Menzo. De ploeg werkt een training in de jungle,nl
520,"af, bezoekt een ziekenhuis en wordt ontvangen door president Ronald Venetiaan. De film belicht het",nl
521,omgaan met elkaar in een groep en of de spelers nog een band hebben met,nl
522, is een keversoort uit de familie van schrijvertjes (Gyrinidae). De wetenschappelijke naam van de,nl
523," is een Engelse voetbalclub, opgericht in 1883. De club speelt zijn thuiswedstrijden sinds 2021",nl
524,weer in de Coventry Building Society Arena in Coventry. Nadat het de twee seizoenen daarvoor,nl
525, De club werd opgericht door de werknemers van een fietsenproducent en droeg in de,nl
526, . In 1893 werd de club professioneel en vijf jaar later werd de naam,nl
527,"veranderd naar de huidige naam, vlak voordat ze naar het stadion aan de Highfield Road",nl
528, Coventry City werd toegelaten tot de tweede divisie van het Engelse voetbal in 1919.,nl
529,"Maar pas in de vroege jaren zestig werd de club succesvoller, toevalligerwijs werd rond die",nl
530,"tijd het lichtblauwe als clubkleur aangenomen. De club promoveerde in 1967 naar de hoogste klasse,",nl
531,waar ze een vaste waarde werden tot 2001. In 1967 noteerde de club een toeschouwersrecord.,nl
532,"In een wedstrijd tegen Wolverhampton Wanderers, in de Division Two, streken bijna 52.000 mensen neer",nl
533,"op Highfield Road. De grootste overwinning van de club dateert uit 1934, toen Bristol City",nl
534,met 9-0 verslagen werd. In 1930 leed de club haar grootste nederlaag: Norwich City bleek,nl
535, In 1987 won de club onder leiding van het duo John Sillett en George,nl
536,"Curtis de FA Cup ten koste van Tottenham Hotspur, dat met 3-2 werd verslagen in",nl
537,"de finale. Doordat Engelse club, ten gevolge van het Heizeldrama, niet mochten meedoen in de",nl
538,"Europese competities, mocht de club echter niet in Europees verband spelen. De beste notering van",nl
539, Na de degradatie uit de Premier League in 2001 kon de club één keer,nl
540, Op 28 maart 2013 bleek dat Coventry City op de rand van de afgrond,nl
541,"balanceerde. De club worstelde met een schuld van 60 miljoen pond, omgerekend ruim 70 miljoen",nl
542,euro. Coventry kreeg uitstel van betaling en als gevolg daarvan werden op basis van reglementen,nl
543, In 2005 leek Coventry City nog een florissante toekomst tegemoet te gaan. De club,nl
544,"verliet Highfield Road, het stadion waar vanaf 1899 de thuiswedstrijden werden gespeeld, om te gaan",nl
545,spelen in een gloednieuw stadion genaamd Ricoh Arena. Maar vanaf het begin blijkt de huur,nl
546,voor het stadion te hoog en omdat Coventry City zichzelf niet meer in de Premier,nl
547,"League wist te spelen, ging het in 2013 mis. Na een ruzie met de stadioneigenaren",nl
548,"vertrok Coventry City naar het nabijgelegen Northampton, om haar 'thuiswedstrijden' te gaan spelen in het",nl
549,Sixfields Stadium van Northampton Town. Ruim een jaar maakte de club geen gebruik van de,nl
550," Op 5 september 2014 keerde Coventry City, tot groot genoegen van de supporters, terug",nl
551,naar dat stadion. Ruim 27.000 toeschouwers zagen de thuisploeg met 1-0 winnen door een doelpunt,nl
552,van huurling Frank Nouble. De huurovereenkomst met de eigenaar van het stadion liep in 2018,nl
553,af zonder dat er overeenkomst was bereikt over een nieuw contract. De club is naarstig,nl
554,op zoek naar een oplossing binnen Coventry maar heeft die tot 2020 nog niet gevonden.,nl
555,In het seizoen 2019-20 mag Coventry gebruik maken van het stadion van Birmingham City. In,nl
556,"2021 tekende Coventry City en de Wasps, de eigenaar van de Ricoh Arena, een 10-jarig",nl
557, achter zijn naam. In de periode 1984–2000 speelde hij 601 officiële wedstrijden voor de,nl
558,club. Clarrie Bourton maakte de meeste doelpunten voor Coventry City. Tussen 1931 en 1937 scoorde,nl
559,hij 182 keer voor Coventry. In 2000 verkocht Coventry City aanvaller Robbie Keane aan Internazionale,nl
560,voor 13 miljoen pond. Nooit eerder kreeg de club een grotere transfersom voor een speler,nl
561,dan toen. In datzelfde jaar kocht de club Craig Bellamy van Norwich City er weer,nl
562,   In 1992 invoering van de Premier League en opheffing van de Fourth,nl
563,"  #R = #ronde, T/U = Thuis/Uit, W = Wedstrijd, PUC = punten UEFA",nl
564," is een bestuurslaag in het regentschap Ciamis van de provincie West-Java, Indonesië. Sukanagara telt",nl
565, ) is een eiland in het zuiden van Chili in de provincie Magallanes. Het,nl
566, . Mount Atalaya is het hoogste punt op het eiland met een hoogte van,nl
567,1830 m. Door een kleine waterweg tussen de wateren Seno Otway en Seno Skyring wordt,nl
568, Op het eiland zijn meerdere gletsjers te vinden en is de bodem rijk aan,nl
569," is een middeleeuws juridisch begrip. Het woud vormde een onafhankelijke eenheid voor wat bestuur,",nl
570,"administratie, rechtspraak en fiscaliteit aanging. Het stond onder toezicht van een grondheer met eigendomsrechten. Het",nl
571, De jacht in vrijwouden was het exclusieve recht van de eigenaar.  Stropers werden,nl
572, Een mogelijk effect van het statuut van vrijwoud was dat het (vermoedelijk vanaf de,nl
573,"15de eeuw) ontbossing en beweiding aan banden legde, met een soort van bosbeheer. De bossen",nl
574,werden opgesplitst in tientallen afgebakende 'houwen'. In elke van die 'houwen' werd maar om de,nl
575," Om het statuut van vrijwoud in goede banen te leiden, werd in sommige gevallen",nl
576,"(bv. het Zoniënwoud en het Meerdaalwoud) een wetboek – een zgn. ‘keurboek’ – opgesteld, met",nl
577,een daaraan gekoppeld woudgerecht. Niet alle vrijwouden hadden een woudgerecht. Dit keurboek was in de,nl
578,  het sprokkelrecht door omwonenden aan de rand van het bos: op het 'maken',nl
579,van dood hout (door de bomen te beschadigen) en op het wegnemen van wild uit,nl
580,  houtverkopen werden geregeld volgens de bepalingen van het keurboek; er waren aparte bepalingen,nl
581,"  hoge boetes werden ingesteld voor het kappen van fruitbomen, het rapen of plukken",nl
582,  speciale bepalingen waren er voor het vetmesten van varkens in het bos; ze,nl
583,  was belast met het toezicht op de bossen en hun beheer; hij oefende,nl
584,zowel een administratieve als een juridische functie uit en werd daarin bijgestaan door een onderwoudmeester:,nl
585,"  moest de jacht in de warande, het hertogelijke jachtgebied, in goede banen leiden;",nl
586,"  was verantwoordelijk voor de praktische organisatie van de jacht, met de soms moeilijke",nl
587,"  , ook wel ‘vorsters’ of ‘sergeanten’ genoemd, stonden de woudmeester bij op het",nl
588," In navolging van de Blijde Inkomst (1356), erkende Filips de Goede het Meerdaalwoud in",nl
589,"1406 als een van de vier Brabantse vrijwouden, naast het Zoniënwoud bij Brussel, het Grootenhoutbos",nl
590,bij Turnhout en het bos van Grooten-Heyst bij Nijvel. Deze opmerkelijke overeenkomst zal Brabant karakteriseren,nl
591,tot in de 18de eeuw. Het kreeg het statuut van hertogelijk vrijwoud in 1367. ,nl
592,Anton van Croÿ verwierf het in 1442 en verenigde het met Heverleebos in 1446. Het,nl
593,"Meerdaalwoud is ook sterk verbonden met de hertogen van Arenberg, die vanaf 1612 het bos",nl
594,exploiteerden en er hun jachtpartijen in organiseerden. In het geval van het Meerdaalwoud was een,nl
595,"vrijstelling van belastingen, beden en karweien in feite reeds van kracht in 1284, toen Godfried",nl
596," (Tibet, 15 mei 1950) is een Tibetaans politicus. Sinds augustus 2006 is hij minister",nl
597,"voor de Tibetaanse regering in ballingschap, voor het minister van Buitenlandse Zaken. Naast deze functie",nl
598,is hij sinds 2007 de vertegenwoordiger van de veertiende dalai lama Tenzin Gyatso in de,nl
599, Tempa Tsering groeide op India nadat zijn familie in de jaren vijftig was gevlucht,nl
600,naar ballingschap. Hij gin naar de middelbare school in in Kalimpong en behaalde de bachelorgraad,nl
601,het de Madras Christian College in Madras (Chennai). Hij was lid van het centrale uitvoerende,nl
602," Sinds 1973 werkt hij als tolk en secretaris voor de Tibetaanse overheid in ballingschap,",nl
603,eerst voor het bureau van de Tibetaanse nederzetting in Bylakuppe. Daarna werkte hij voor het,nl
604, ) voor het Ministerie voor Huisvesting. Hij werd gekozen uit een lijst die was,nl
605,samengesteld door de dalai lama en diende tot het regeringseinde van de kashag in 2001.,nl
606,"In 2006 werd hij door de Lobsang Tenzin opnieuw genomineerd voor kalön, ditmaal voor het",nl
607,Ministerie van Informatie en Internationale Relaties. Hetzelfde jaar werd hij door het Tibetaans parlement in,nl
608,ballingschap op deze positie benoemd; een jaar later werd hij daarnaast vertegenwoordiger van de dalai,nl
609," , was de 9e doge van de republiek Venetië (803 of 804 – 809),",nl
610,met toenmalige hoofdstad Malamocco op het Lido di Venezia. Obelerio was de speelbal tussen het,nl
611,oprukkende Frankische Rijk der Karolingers en het keizerrijk Byzantium dat weerwerk bood om haar kolonie,nl
612, Eind 8e eeuw rukte het Frankische Rijk der Karolingers op met verovering van het,nl
613,"koninkrijk der Longobarden, de Avarenmark en het latere Kroatië. Pepijn, een zoon van keizer Karel",nl
614,"de Grote, was koning van Italië. Bij de Venetianen bestond er een grote fractie die",nl
615,"Frankischgezind was. Deze fractie was stevig verankerd in Malamocco, de hoofdstad. Obelerio profileerde er zich",nl
616,als pro-Frankisch en was volkstribuun. De fractie die Byzantium steunde - waartoe Venetië formeel behoorde,nl
617,"- verzamelde zich in de oude hoofdstad Eraclea. Nikephoros I, keizer van Byzantium, kwam tot",nl
618,een akkoord met keizer Karel de Grote in een vredesverdrag (803); Venetië en Dalmatië bleven,nl
619, De patriarch van Grado Giovanni was Frankisch- en Roomsgezind en was een doorn in,nl
620,het oog van doge Giovanni Galbaio. Dit paste niet in de politiek van de Byzantijnsgezinde,nl
621,doge. Galbaio en zijn zoon en mederegent Maurizio vermoordden de patriarch (802). De nieuwe patriarch,nl
622,"Fortunato, een familielid van de voorgaande, reisde naar het Frankische Hof in Salzburg (803). Fortunato",nl
623,verwierf nog meer voorrechten en steun van de Karolingers dan ooit tevoren. Gewapende milities Venetianen,nl
624,uit beide kampen gingen elkaar regelmatig te lijf (803). Voor Obelerio en zijn fractie was,nl
625, Obelerio werd doge en zijn broer Beato mederegent (803 of 804). De republiek Venetië,nl
626,voerde voortaan een pro-Frankische koers. Obelerio organiseerde klopjachten in Eraclea om de Byzantijnsgezinden te onderdrukken.,nl
627,"Patriarch Fortunato die nochtans tot de fractie van de doge behoorde, werd ook militair gecontroleerd",nl
628,op al zijn verplaatsingen. Obelerio en Beato reisden naar het Frankische Hof in Thionville (805).,nl
629, Voor keizer Nikephoros I was dit genoeg om oorlog te voeren tegen de Franken.,nl
630,In 806 voer admiraal Nicetas met Byzantijnse vloot naar Dalmatië en tot voor de Lagune,nl
631,van Venetië. Dalmatië konden ze veroveren doch ze aarzelden nog voor Venetië. Patriarch Fortunato sloeg,nl
632,op de vlucht en zocht bescherming bij de Karolingers. Obelerio en Beato gaven Venetië over,nl
633," dragen, zodat Venetië terugkeerde in de Byzantijnse sfeer. Doge Obelerio gedroeg zich voortaan als",nl
634," Een jaar later (807) had admiraal Nicetas een akkoord gesloten met Pepijn, de Karolingische",nl
635,koning van Italië. Nicetas keerde naar Constantinopel terug met enkele gijzelaars: het waren Frankisch-gezinde patriciërs,nl
636,maar ook doge Obelerio. Obelerio keerde hetzelfde jaar nog terug naar Malamacco. Het akkoord van,nl
637,"807 werd verbroken door de Byzantijnse inval in 809; een vloot onder leiding van Paulus,",nl
638,"hertog van Kefalonia, voer in de Lagune van Venetië. Door het wispelturig gedrag van doge",nl
639,Obelerio lukte het niet voor diplomaten van beide kampen om tot een bestand te komen.,nl
640,Voor koning Pepijn van Italië was de maat vol. Zijn leger viel binnen op Venetiaans,nl
641,"grondgebied en naderde dicht tot bij Malamocco, hoofdstad der Venetianen (809). Finaal trok Pepijn zich",nl
642,"terug en liet Venetië in handen van de Byzantijnen, van wie de vloot gevaarlijk dicht",nl
643,bij Malamocco opdook. Obelerio slaagde er maar niet in voor het ene of andere kamp,nl
644, Obelerio wou zich verschuilen bij de Franken doch de Franken leverden hem uit aan,nl
645,"de Byzantijnen. Voor Obelerio begon een ballingschap in Constantinopel die twintig jaar zou duren, tot",nl
646,"circa 829. Zijn broer Beato werd verbannen naar Zadar, een Dalmatische stad onder Byzantijns bestuur;",nl
647,Beato stierf er circa 810. De nieuwe doge Angelo Partecipazio van het Huis Partecipazio verplaatste,nl
648,de hoofdstad van Malamocco naar wat later aan de Rialtobrug de Venetiaanse wijken San Marco,nl
649,en San Polo werden. De politieke rol van Malamocco was uitgespeeld; enkel de haven was,nl
650," Na twintig jaar ballingschap keerde Obelerio naar Venetië terug, meer bepaald naar Malamocco waar",nl
651,hij oude relaties opzocht (829). Hij kon een militie op de been brengen die doge,nl
652,Giustiniano Partecipazio ten val moest brengen. De doge reageerde met harde hand. De militie van,nl
653,Obelerio werd verdreven en het hoofd van Obelerio werd afgehakt. Zijn hoofd stond op een,nl
654,"paal in de grensplaats Mestre, waar de grens lag tussen Venetië en Frankisch Italië. De",nl
655,"stad Malamocco werd tot op de grond afgebrand, als waarschuwing tegen elke potentiële opstand tegen",nl
656, is een borstelworm uit de familie Aphroditidae. Het lichaam van de worm bestaat uit,nl
657,"een kop, een cilindrisch, gesegmenteerd lichaam en een staartstukje. De kop bestaat uit een prostomium",nl
658,(gedeelte voor de mondopening) en een peristomium (gedeelte rond de mond) en draagt gepaarde aanhangsels,nl
659, is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam van,nl
660, is een straalvinnige vissensoort uit de familie van rifbaarzen of koraaljuffertjes (Pomacentridae). De wetenschappelijke,nl
661,naam van de soort is voor het eerst geldig gepubliceerd in 2004 door Allen &amp;,nl
662, Het ras werd ontwikkeld als dubbeldoelras en ontstond uit het Mechels hoen en de,nl
663,White Cornish. Het Zingems vleeshoen was korte tijd populair.. Momenteel schijnt het ras echter niet,nl
664," is een plaats (city) in de Amerikaanse staat Minnesota, en valt bestuurlijk gezien onder",nl
665,"In 2006 is het aantal inwoners door het United States Census Bureau geschat op 73,",nl
666, is een race uit de NASCAR Cup Series. De race wordt in het najaar,nl
667,"gehouden op de Pocono Raceway over een afstand van 400 mijl of 643,7 km. De",nl
668,eerste editie werd gehouden in 1974 en gewonnen door Richard Petty. In het voorjaar wordt,nl
669, werd op 20 januari 1999 gehouden in de studio's van tv-zender VTM. Branko Strupar,nl
670,won deze voetbalprijs met 310 punten. Het gala werd gepresenteerd door Dirk Abrams en Birgit,nl
671," Branko Strupar, een Kroaat met een Belgisch paspoort, werd op voorhand beschouwd als een",nl
672,grote kanshebber. Strupar had in 1998 het seizoen afgesloten als vicekampioen en als topschutter. Zijn,nl
673,"grootste concurrent was ploegmaat en spitsbroeder Souleymane Oulare. Lorenzo Staelens, die volgens velen al jaren",nl
674," Strupar won uiteindelijk de eerste stemronde met 150 punten, maar moest in de tweede",nl
675,stemronde ploegmaat Oulare laten voorgaan. Uiteindelijk verzamelde de Kroatische Belg toch voldoende punten om Oulare,nl
676,"achter zich te houden. Strupar ontving de Gouden Schoen uit handen van Pär Zetterberg, de",nl
677, Patrick Goots scoorde in 1998 met de ogen dicht in Tweede Klasse. Dat leverde,nl
678, ) is een hagedis uit de familie Phrynosomatidae en een van de padhagedissen uit,nl
679, De wetenschappelijke naam van de soort werd voor het eerst voorgesteld door Charles Frédéric,nl
680," gebruikt.  De soort wordt verdeeld in twee ondersoorten, met de auteur en het",nl
681," De habitat bestaat uit open, warme en droge plekken in het zuiden van de",nl
682,"Verenigde Staten en delen van Mexico, voornamelijk in woestijnen en halfwoestijnen met een losse zandbodem.",nl
683," Deze soort heeft een zeer stompe en ronde kop, een zeer korte staart, vele",nl
684,stekels op het lijf en knobbelige schubben. Ook kan de buik extreem worden afgeplat om,nl
685,"meer zon op te vangen, waardoor hij van boven gezien bijna rond is. Deze soort",nl
686,wordt maximaal 25 centimeter lang en heeft met name een stekelrij in de nek naar,nl
687,achteren wijzend en een dunne dubbele kam aan weerszijden van het lichaam tot de staartpunt.,nl
688,"De kleur is bruin tot beige en soms grijs met onregelmatige, donkere vlekken over het",nl
689,"hele lijf, meestal bruin tot zwart. Sommige padhagedissen hebben een knobbel in de nek, die",nl
690,"heel erg op de kop lijkt, waarmee ze roofdieren in de maling nemen. Padhagedissen kunnen",nl
691," Het voedsel bestaat uit insecten en andere ongewervelden, vooral kevers en mieren, die met",nl
692,de tong worden opgelikt. De hagedis is hierdoor in gevangenschap moeilijk in leven te houden.,nl
693,"'s Nachts ligt de padhagedis ingegraven in het zand, en ook overdag als de temperaturen",nl
694,te hoog worden schuilt het dier in een ondiepe kuil onder een steen of boomstam.,nl
695,"De hagedis is op de korte afstand snel als hij opgewarmd is en moet vluchten,",nl
696," Ondanks zijn indrukwekkende hoeveelheid stekels, heeft de padhagedis  toch een aantal vijanden. Veel",nl
697,roofvogels vallen het dier aan en scheuren zijn lichaam uit elkaar met hun sterke klauwen.,nl
698,"Haviken, valken, sperwers, klapeksters en renkoekoeken jagen allemaal op de hagedis, hoewel ze het risico",nl
699,lopen in de stekels te stikken. Zo zijn er al meermaals dode vogels gevonden met,nl
700,de stekels van de padhagedis  in de keel die de luchtpijp doorboord hadden. Slangen,nl
701,"vangen ook wel padhagedissen. Zij lopen zelfs het grootste risico om dood te gaan, omdat",nl
702, De padhagedis  vertrouwt op zijn schutkleur als zijn beste verdedigingsmiddel. Zijn platte lichaam,nl
703,vormt een geheel met zijn open leefgebied en werpt geen schaduw. Kleur en tekening van,nl
